Topic,Source,Year,Rank,Word,Beta,Deviation,Score
15,HBR,1987,2,manager,1.362442e-02,4.552951e-03,6.203132e-05
15,HBR,1987,3,product,1.357462e-02,3.853848e-03,5.231451e-05
15,HBR,1987,4,company,1.226571e-02,3.120511e-03,3.827528e-05
15,HBR,1987,5,japanese,1.540737e-02,1.804348e-03,2.780025e-05
15,HBR,1987,6,technology,1.034795e-02,2.266874e-03,2.345750e-05
15,HBR,1987,7,computer,8.513229e-03,2.702983e-03,2.301111e-05
15,HBR,1997,1,company,4.025170e-02,1.468727e-02,5.911876e-04
15,HBR,1997,2,product,1.972856e-02,7.161449e-03,1.412850e-04
15,HBR,1997,3,manager,1.436096e-02,5.163373e-03,7.415101e-05
15,HBR,1997,4,process,8.366033e-03,2.094331e-03,1.752124e-05
15,HBR,1997,5,strategy,7.077317e-03,2.186884e-03,1.547727e-05
15,HBR,1997,6,executive,6.614543e-03,1.684536e-03,1.114243e-05
15,HBR,1997,7,network,7.131499e-03,1.471272e-03,1.049237e-05
15,HBR,2017,1,customer,1.230587e-02,3.701391e-03,4.554882e-05
15,HBR,2017,2,company,3.001732e-02,1.476647e-03,4.432499e-05
15,HBR,2017,3,leader,1.241471e-02,2.111882e-03,2.621841e-05
15,HBR,2017,4,learn,1.223749e-02,2.112525e-03,2.585199e-05
15,HBR,2017,5,metric,5.007381e-03,2.303930e-03,1.153665e-05
15,HBR,2017,6,startup,4.717211e-03,2.288659e-03,1.079609e-05
15,HBR,2017,7,researcher,5.487749e-03,1.835595e-03,1.007329e-05
