Topic,Year,Source,Top_15_Words
Topic_0,1952,HBR,"increase, price, cost, industry, production, company, management, rate, factor, year, plan, plant, result, unit, stock"
Topic_0,1952,ILR,"increase, industry, production, number, rate, worker, work, year, level, labor, country, price, cost, result, industrial"
Topic_0,1957,Shared,"company, management, increase, price, industry, market, change, result, demand, firm, product, cost, capital, group, effect"
Topic_0,1957,COHA,"company, management, price, increase, industry, market, change, result, demand, cost, capital, group, product, firm, show"
Topic_0,1957,HBR,"price, increase, company, cost, management, industry, market, capital, purchase, total, result, stock, rate, change, product"
Topic_0,1957,ILR,"increase, industry, rate, total, income, price, case, result, effect, group, change, worker, show, estimate, level"
Topic_0,1962,Shared,"increase, system, company, change, management, plan, development, case, organization, study, result, service, factor, cost, exist"
Topic_0,1962,COHA,"company, system, increase, change, plan, management, case, development, result, service, study, cost, organization, industry, factor"
Topic_0,1962,HBR,"company, increase, cost, change, management, rate, plan, market, system, factor, case, plant, result, price, industry"
Topic_0,1962,ILR,"increase, rate, industry, change, case, level, work, country, number, total, economic, worker, result, cost, labor"
Topic_0,1967,Shared,"result, management, job, study, increase, cost, change, work, group, develop, level, market, policy, company, service"
Topic_0,1967,COHA,"result, management, job, cost, work, increase, change, study, group, year, policy, service, company, market, area"
Topic_0,1967,HBR,"cost, management, result, price, increase, rate, company, change, group, product, market, period, unit, industry, show"
Topic_0,1967,ILR,"increase, rate, level, result, work, number, industry, group, job, cost, period, change, base, average, estimate"
Topic_0,1972,Shared,"company, cost, increase, management, change, year, rate, work, result, price, group, system, market, industry, program"
Topic_0,1972,COHA,"company, cost, year, increase, change, rate, management, price, work, group, result, system, industry, market, case"
Topic_0,1972,HBR,"cost, company, price, rate, increase, management, change, year, market, result, industry, group, total, case, plant"
Topic_0,1972,ILR,"increase, rate, cost, price, level, change, work, industry, year, income, number, group, country, result, total"
Topic_0,1977,Shared,"price, cost, tax, year, rate, capital, level, increase, work, system, investment, change, result, small, company"
Topic_0,1977,COHA,"price, tax, cost, year, rate, capital, increase, level, work, small, system, change, government, investment, result"
Topic_0,1977,HBR,"price, cost, rate, tax, capital, increase, investment, company, conrad, result, level, year, period, change, system"
Topic_0,1977,ILR,"rate, increase, level, price, cost, work, capital, change, job, result, year, income, economic, period, group"
Topic_0,1982,Shared,"cost, employee, work, plant, system, rate, job, decision, management, increase, risk, service, market, reduce, pay"
Topic_0,1982,COHA,"cost, plant, work, employee, system, rate, increase, job, management, decision, year, market, service, risk, pay"
Topic_0,1982,HBR,"cost, plant, rate, management, employee, increase, market, price, investment, risk, company, system, industry, reduce, decision"
Topic_0,1982,ILR,"cost, rate, increase, work, employee, job, industry, plant, reduce, system, production, market, level, pay, case"
Topic_0,1987,Shared,"company, market, manager, system, change, management, quality, year, cost, service, price, product, performance, work, strategy"
Topic_0,1987,COHA,"company, market, manager, system, change, year, quality, management, price, cost, people, service, product, work, important"
Topic_0,1987,HBR,"company, market, manager, price, cost, management, product, system, quality, change, service, performance, industry, increase, year"
Topic_0,1987,ILR,"market, company, change, system, increase, price, cost, work, service, rate, year, industry, management, job, quality"
Topic_0,1992,Shared,"work, year, market, system, change, industry, company, cost, service, base, low, relationship, information, group, people"
Topic_0,1992,COHA,"year, work, market, system, change, company, cost, industry, base, service, low, people, group, world, information"
Topic_0,1992,HBR,"company, market, cost, system, change, industry, year, work, base, service, price, low, information, relationship, process"
Topic_0,1992,ILR,"work, market, industry, year, system, cost, change, base, service, low, rate, group, company, worker, country"
Topic_0,1997,Shared,"internet, software, customer, web, product, strategy, technology, company, computer, brand, knowledge, partner, management, market, focus"
Topic_0,1997,COHA,"internet, software, customer, web, product, strategy, technology, company, computer, brand, knowledge, partner, management, market, core"
Topic_0,1997,HBR,"customer, software, internet, product, company, web, strategy, brand, technology, computer, knowledge, partner, management, manager, cost"
Topic_0,1997,ILR,"customer, product, technology, company, strategy, market, software, internet, cost, knowledge, management, computer, web, employee, investment"
Topic_0,2002,Shared,"customer, market, employee, work, create, service, care, change, company, industry, year, partner, organization, process, result"
Topic_0,2002,COHA,"customer, market, year, work, employee, service, care, create, company, industry, change, result, partner, information, health"
Topic_0,2002,HBR,"customer, company, market, employee, create, service, industry, change, work, year, process, cost, result, care, partner"
Topic_0,2002,ILR,"market, work, employee, service, industry, change, customer, year, increase, create, care, result, provide, company, organization"
Topic_0,2007,Shared,"company, market, firm, cost, customer, change, management, work, employee, develop, year, process, system, executive, growth"
Topic_0,2007,COHA,"company, market, firm, cost, customer, change, management, work, year, employee, people, system, executive, process, develop"
Topic_0,2007,HBR,"company, market, cost, customer, firm, change, management, employee, work, risk, executive, price, process, product, consumer"
Topic_0,2007,ILR,"company, market, firm, cost, change, work, management, employee, customer, increase, level, develop, job, year, growth"
Topic_0,2012,Shared,"patient, adjust, employee, service, revenue, work, provider, change, collaboration, industry, engagement, shareholder, company, talent, require"
Topic_0,2012,COHA,"patient, employee, service, adjust, work, revenue, change, industry, company, collaboration, year, provider, director, include, require"
Topic_0,2012,HBR,"employee, adjust, service, patient, revenue, company, change, provider, work, invest, industry, shareholder, cost, product, require"
Topic_0,2012,ILR,"employee, service, adjust, work, change, patient, industry, increase, revenue, include, pay, provide, reduce, social, require"
Topic_0,2017,Shared,"work, people, employee, organization, change, platform, study, market, year, service, innovation, growth, create, develop, provide"
Topic_0,2017,COHA,"people, work, employee, organization, change, year, study, market, service, platform, company, innovation, growth, create, provide"
Topic_0,2017,HBR,"employee, work, people, organization, change, company, market, innovation, service, platform, create, year, study, focus, firm"
Topic_0,2017,ILR,"work, employee, organization, change, people, study, market, service, year, provide, growth, country, job, develop, firm"
Topic_1,1922,Shared,"company, man, management, plan, cost, sale, market, control, year, change, service, product, executive, order, power"
Topic_1,1922,COHA,"man, company, people, year, power, plan, line, today, control, world, call, public, management, life, place"
Topic_1,1922,HBR,"company, man, plan, sale, management, control, executive, cost, power, line, product, market, order, change, serve"
Topic_1,1922,ILR,"company, man, plan, management, work, year, organization, order, power, service, control, cost, change, market, industry"
Topic_1,1927,Shared,"year, man, company, plan, field, control, case, interest, method, hold, important, public, group, power, line"
Topic_1,1927,COHA,"man, year, people, world, city, american, life, house, today, field, company, put, run, power, line"
Topic_1,1927,HBR,"company, man, plan, field, sell, control, method, year, interest, bank, hold, department, statement, case, buying"
Topic_1,1927,ILR,"year, man, plan, company, field, case, interest, hold, method, control, important, public, power, group, world"
Topic_1,1932,Shared,"year, power, man, work, public, government, world, case, state, industry, people, plan, money, small, company"
Topic_1,1932,COHA,"people, world, year, power, life, man, money, american, put, today, state, mind, public, government, word"
Topic_1,1932,HBR,"power, company, plan, man, year, people, world, bring, control, public, word, question, bank, government, life"
Topic_1,1932,ILR,"year, work, power, government, public, state, world, man, case, industry, people, question, plan, life, deal"
Topic_1,1937,Shared,"picture, state, man, power, government, small, bring, year, public, hand, deal, place, question, world, statement"
Topic_1,1937,COHA,"picture, man, world, city, people, life, power, house, state, book, year, hand, small, radio, home"
Topic_1,1937,HBR,"picture, man, bring, power, railroad, small, statement, control, deal, write, hand, sound, question, attitude, state"
Topic_1,1937,ILR,"state, picture, government, bring, power, deal, man, year, organization, public, question, small, work, place, hand"
Topic_1,1942,Shared,"question, company, power, action, management, change, system, plan, effort, industry, product, year, important, organization, cost"
Topic_1,1942,COHA,"people, power, world, feel, man, action, year, newspaper, leader, company, question, call, life, put, sound"
Topic_1,1942,HBR,"company, management, question, action, leader, feel, research, effort, product, power, plan, organization, people, call, sell"
Topic_1,1942,ILR,"question, organization, action, work, power, system, industry, year, effort, plan, development, change, important, management, company"
Topic_1,1947,Shared,"man, year, public, people, command, power, life, call, nation, american, work, put, control, end, line"
Topic_1,1947,COHA,"man, people, american, life, year, put, world, nation, feel, power, today, city, public, end, call"
Topic_1,1947,HBR,"command, man, people, feel, company, advertising, call, page, businessman, put, year, life, leader, attitude, idea"
Topic_1,1947,ILR,"year, man, public, work, people, life, call, power, place, economic, question, government, put, nation, case"
Topic_1,1952,Shared,"people, man, company, year, life, idea, feel, put, power, word, human, today, sense, leader, world"
Topic_1,1952,COHA,"people, life, american, today, put, feel, president, world, man, mind, talk, idea, sense, top, year"
Topic_1,1952,HBR,"people, company, idea, leader, feel, top, talk, word, human, man, sense, page, mind, put, life"
Topic_1,1952,ILR,"people, year, life, idea, man, government, work, company, human, put, feel, power, leader, program, organization"
Topic_1,1957,Shared,"businessman, man, advertising, people, page, attitude, negro, human, world, company, life, mind, year, call, feel"
Topic_1,1957,COHA,"man, people, world, life, businessman, today, mind, page, put, talk, space, feel, year, human, negro"
Topic_1,1957,HBR,"businessman, advertising, man, page, negro, attitude, people, leader, feel, company, human, talk, mind, listen, personality"
Topic_1,1957,ILR,"man, businessman, work, people, organization, human, attitude, year, world, government, life, call, public, advertising, page"
Topic_1,1962,Shared,"man, area, idea, year, group, people, life, question, today, executive, talk, turn, change, program, work"
Topic_1,1962,COHA,"man, people, life, today, president, big, talk, idea, year, world, american, defense, home, run, turn"
Topic_1,1962,HBR,"man, idea, businessman, talk, executive, praise, people, today, company, life, area, top, feeling, turn, scientist"
Topic_1,1962,ILR,"man, area, year, idea, question, group, people, life, work, government, change, program, state, today, action"
Topic_1,1967,Shared,"man, people, year, black, power, community, feel, company, public, government, call, end, put, area, real"
Topic_1,1967,COHA,"people, man, black, president, feel, year, power, world, put, today, life, top, money, community, big"
Topic_1,1967,HBR,"people, man, feel, black, company, top, executive, manager, community, idea, talk, president, power, put, page"
Topic_1,1967,ILR,"man, people, year, community, government, power, public, feel, company, work, society, area, view, call, black"
Topic_1,1972,Shared,"people, year, government, man, company, meeting, world, state, life, work, public, organization, today, put, set"
Topic_1,1972,COHA,"people, president, life, world, year, man, today, put, meeting, state, government, home, talk, face, public"
Topic_1,1972,HBR,"people, company, meeting, executive, man, today, life, year, talk, put, feel, world, president, organization, write"
Topic_1,1972,ILR,"people, year, government, work, man, state, meeting, company, organization, world, life, public, system, set, put"
Topic_1,1977,Shared,"page, arc, people, man, dead, feel, year, work, industry, management, company, end, mixed, small, board"
Topic_1,1977,COHA,"people, page, feel, man, life, arc, dead, year, end, city, world, power, side, small, talk"
Topic_1,1977,HBR,"page, arc, people, feel, dead, company, manager, inn, management, mixed, executive, talk, learn, man, write"
Topic_1,1977,ILR,"page, work, people, man, industry, year, management, case, arc, feel, company, small, group, end, system"
Topic_1,1982,Shared,"business, managers, costs, employees, problems, harvard, tion, systems, sales, companies, products, businesses, services, data, making"
Topic_1,1982,COHA,"business, managers, costs, problems, employees, companies, sales, systems, people, president, harvard, making, black, products, data"
Topic_1,1982,HBR,"managers, costs, business, employees, tion, harvard, problems, companies, systems, sales, businesses, products, tions, services, executives"
Topic_1,1982,ILR,"business, managers, people, pro, data, world, year, costs, employees, man, government, american, book, set, life"
Topic_1,1987,Shared,"people, year, money, world, company, big, put, talk, call, life, market, american, change, feel, lot"
Topic_1,1987,COHA,"people, money, world, year, big, life, american, put, talk, lot, black, company, today, feel, call"
Topic_1,1987,HBR,"people, talk, company, money, big, lot, world, put, leader, business, year, feel, story, black, today"
Topic_1,1987,ILR,"people, year, company, world, money, change, market, call, put, life, big, man, start, talk, feel"
Topic_1,1992,Shared,"people, world, lot, move, company, leave, small, year, call, work, school, today, home, organization, life"
Topic_1,1992,COHA,"people, world, lot, home, life, school, today, move, put, feel, year, face, story, top, money"
Topic_1,1992,HBR,"people, lot, world, move, company, leader, happen, talk, feel, idea, today, sense, leadership, put, hear"
Topic_1,1992,ILR,"people, world, work, leave, company, year, move, small, organization, call, school, hold, lot, life, power"
Topic_1,1997,Shared,"people, company, team, year, big, put, start, talk, leadership, idea, life, feel, world, work, story"
Topic_1,1997,COHA,"people, big, talk, life, team, put, story, year, lot, company, start, feel, world, idea, space"
Topic_1,1997,HBR,"people, company, talk, team, leadership, big, idea, start, story, lot, feel, put, leader, space, hear"
Topic_1,1997,ILR,"people, company, year, team, start, put, big, work, life, talk, idea, leadership, feel, world, organization"
Topic_1,2002,Shared,"people, idea, year, call, talk, world, life, put, leader, start, feel, work, company, turn, big"
Topic_1,2002,COHA,"people, life, talk, world, idea, year, put, big, lot, call, feel, today, start, head, run"
Topic_1,2002,HBR,"people, talk, idea, leader, culture, lot, call, team, feel, hear, start, big, understand, drive, put"
Topic_1,2002,ILR,"people, idea, year, call, world, work, life, put, talk, leader, start, company, turn, feel, run"
Topic_1,2007,Shared,"people, company, feel, call, lot, life, idea, year, world, big, put, manager, leader, learn, open"
Topic_1,2007,COHA,"people, lot, feel, life, big, story, call, world, year, put, room, head, friend, hard, open"
Topic_1,2007,HBR,"people, feel, lot, idea, leader, company, call, big, story, learn, friend, life, put, bad, team"
Topic_1,2007,ILR,"people, company, call, feel, year, life, idea, work, lot, world, put, manager, leader, open, run"
Topic_1,2012,Shared,"people, company, big, year, talk, work, start, show, idea, world, lot, story, life, feel, money"
Topic_1,2012,COHA,"people, big, talk, story, year, lot, world, life, start, money, show, company, idea, feel, hard"
Topic_1,2012,HBR,"people, talk, big, story, lot, idea, start, company, happy, feel, happen, leadership, leader, hear, brand"
Topic_1,2012,ILR,"people, company, year, big, work, show, talk, start, idea, world, lot, life, story, feel, money"
Topic_1,2017,Shared,"people, year, world, money, start, end, board, place, company, life, put, plan, power, work, small"
Topic_1,2017,COHA,"people, year, world, money, life, end, start, big, place, put, week, city, lot, power, board"
Topic_1,2017,HBR,"people, year, world, start, lot, company, big, money, board, feel, put, life, team, end, idea"
Topic_1,2017,ILR,"people, year, world, money, end, start, place, board, work, company, life, plan, put, power, group"
Topic_2,1922,Shared,"labor, work, industry, case, report, year, country, worker, trade, industrial, question, union, condition, follow, form"
Topic_2,1922,COHA,"labor, work, industry, case, year, report, country, question, state, school, worker, trade, industrial, union, form"
Topic_2,1922,HBR,"industry, labor, work, case, report, year, question, country, industrial, trade, form, organization, worker, condition, follow"
Topic_2,1922,ILR,"labor, work, report, worker, industry, industrial, trade, case, country, question, condition, organization, school, union, international"
Topic_2,1927,Shared,"work, year, report, labor, international, worker, industry, number, country, industrial, trade, question, land, case, special"
Topic_2,1927,COHA,"year, work, report, labor, international, country, industry, worker, question, number, industrial, state, land, trade, office"
Topic_2,1927,HBR,"work, year, report, labor, international, industry, industrial, country, question, worker, number, trade, case, land, economic"
Topic_2,1927,ILR,"work, labor, report, international, worker, year, industrial, country, land, industry, trade, question, number, special, office"
Topic_2,1932,Shared,"work, year, state, country, economic, government, labor, international, system, industry, worker, wage, case, question, organization"
Topic_2,1932,COHA,"work, state, year, government, country, economic, labor, system, international, industry, question, national, case, worker, organization"
Topic_2,1932,HBR,"work, state, year, economic, government, country, system, labor, industry, international, question, organization, case, worker, industrial"
Topic_2,1932,ILR,"work, state, year, labor, country, international, economic, worker, government, system, industry, wage, question, industrial, organization"
Topic_2,1937,Shared,"labor, work, country, social, state, worker, cooperative, wage, year, international, cent, report, case, industrial, industry"
Topic_2,1937,COHA,"state, work, labor, country, social, worker, year, government, cooperative, international, wage, report, law, cent, case"
Topic_2,1937,HBR,"state, work, labor, country, social, worker, cooperative, year, government, report, case, international, industry, industrial, study"
Topic_2,1937,ILR,"labor, social, work, country, worker, state, cooperative, international, wage, report, cent, industrial, condition, organization, industry"
Topic_2,1942,Shared,"war, government, year, state, country, international, organization, economic, work, labor, national, policy, board, social, committee"
Topic_2,1942,COHA,"war, government, state, year, country, national, international, economic, organization, work, board, labor, committee, policy, public"
Topic_2,1942,HBR,"war, government, state, year, country, economic, organization, policy, international, work, national, labor, board, public, social"
Topic_2,1942,ILR,"war, government, international, labor, country, organization, state, worker, social, work, economic, committee, year, board, housing"
Topic_2,1947,Shared,"labor, work, country, social, economic, state, industry, worker, year, national, trade, law, employment, union, relation"
Topic_2,1947,COHA,"labor, work, country, state, social, economic, year, national, industry, law, worker, public, union, government, trade"
Topic_2,1947,HBR,"work, labor, country, economic, social, state, industry, year, national, law, relation, union, trade, worker, public"
Topic_2,1947,ILR,"labor, social, work, country, worker, economic, industry, state, employment, trade, national, union, international, condition, law"
Topic_2,1952,Shared,"country, work, economic, industrial, development, international, labor, state, worker, year, training, government, organization, number, social"
Topic_2,1952,COHA,"country, work, economic, state, industrial, year, government, international, development, labor, national, public, worker, organization, man"
Topic_2,1952,HBR,"country, economic, work, development, industrial, state, year, government, organization, labor, international, public, increase, training, case"
Topic_2,1952,ILR,"country, industrial, economic, work, international, labor, worker, housing, social, development, state, agricultural, cooperative, training, union"
Topic_2,1957,Shared,"work, labor, country, worker, social, training, employment, union, development, economic, industrial, trade, government, organization, wage"
Topic_2,1957,COHA,"work, country, labor, worker, social, government, union, training, economic, development, employment, public, year, trade, policy"
Topic_2,1957,HBR,"work, country, labor, development, social, training, economic, government, worker, union, policy, organization, program, system, job"
Topic_2,1957,ILR,"labor, worker, work, country, social, employment, union, training, industrial, international, wage, trade, economic, government, development"
Topic_2,1962,Shared,"labor, work, worker, economic, country, social, employment, government, union, training, increase, policy, national, trade, industrial"
Topic_2,1962,COHA,"labor, work, government, economic, country, worker, social, national, union, state, policy, employment, public, training, school"
Topic_2,1962,HBR,"labor, economic, work, government, country, policy, social, worker, union, increase, national, training, study, public, industrial"
Topic_2,1962,ILR,"labor, worker, work, social, country, employment, economic, union, government, training, industrial, international, national, trade, condition"
Topic_2,1967,Shared,"work, labor, year, country, system, number, economic, industry, trade, government, policy, worker, change, group, case"
Topic_2,1967,COHA,"work, year, government, labor, country, system, economic, number, industry, policy, public, trade, state, worker, change"
Topic_2,1967,HBR,"work, system, year, government, economic, policy, labor, industry, country, change, number, trade, group, public, small"
Topic_2,1967,ILR,"labor, work, country, worker, economic, trade, government, social, international, system, year, industry, number, report, cent"
Topic_2,1972,Shared,"work, labor, year, public, union, country, government, case, worker, state, national, policy, system, employment, increase"
Topic_2,1972,COHA,"work, year, public, government, state, labor, union, country, national, case, worker, school, man, world, place"
Topic_2,1972,HBR,"work, year, public, government, labor, state, union, case, country, national, system, policy, worker, school, world"
Topic_2,1972,ILR,"work, labor, union, worker, country, government, public, state, case, year, employment, national, social, international, industrial"
Topic_2,1977,Shared,"work, year, development, area, organization, case, public, increase, training, system, country, service, economic, study, industry"
Topic_2,1977,COHA,"year, work, public, area, development, organization, man, world, case, government, action, country, people, national, system"
Topic_2,1977,HBR,"work, year, development, organization, area, public, system, action, case, economic, service, study, small, world, government"
Topic_2,1977,ILR,"work, development, year, organization, country, training, industrial, economic, social, labor, worker, case, area, public, report"
Topic_2,1982,Shared,"work, worker, year, country, number, industry, increase, international, labor, social, group, rate, case, change, economic"
Topic_2,1982,COHA,"work, year, worker, country, state, industry, number, international, government, group, labor, case, public, social, increase"
Topic_2,1982,HBR,"work, year, worker, country, industry, group, increase, change, number, case, system, international, government, social, state"
Topic_2,1982,ILR,"work, worker, labor, country, international, social, year, economic, industry, case, condition, trade, state, government, number"
Topic_2,1987,Shared,"work, year, worker, industry, public, trade, labor, government, number, country, case, pay, industrial, increase, woman"
Topic_2,1987,COHA,"work, year, public, government, worker, state, week, industry, trade, labor, country, number, case, school, order"
Topic_2,1987,HBR,"work, year, public, government, industry, worker, trade, labor, state, case, country, organization, service, number, order"
Topic_2,1987,ILR,"work, worker, labor, trade, government, year, country, public, union, employment, industrial, woman, international, state, industry"
Topic_2,1992,Shared,"government, work, service, policy, job, market, system, union, labor, international, provide, country, change, issue, economic"
Topic_2,1992,COHA,"government, work, political, service, public, union, policy, job, system, international, market, country, labor, issue, local"
Topic_2,1992,HBR,"government, work, service, market, system, job, policy, political, change, union, public, provide, issue, organization, support"
Topic_2,1992,ILR,"government, labor, work, international, union, service, policy, country, social, worker, economic, industrial, provide, law, political"
Topic_2,1997,Shared,"work, country, year, woman, service, labor, cost, program, increase, economic, employment, number, case, worker, job"
Topic_2,1997,COHA,"year, work, country, state, woman, public, program, national, service, case, world, economic, labor, cost, job"
Topic_2,1997,HBR,"work, year, country, program, service, cost, woman, change, job, economic, case, increase, public, labor, number"
Topic_2,1997,ILR,"work, country, labor, woman, employment, worker, economic, year, union, international, state, case, service, national, provide"
Topic_2,2002,Shared,"country, work, year, gender, employment, policy, discrimination, market, increase, change, sector, worker, show, woman, firm"
Topic_2,2002,COHA,"country, year, work, policy, show, employment, change, state, market, increase, gender, woman, discrimination, case, care"
Topic_2,2002,HBR,"country, year, work, market, change, policy, gender, increase, show, employment, service, system, firm, discrimination, woman"
Topic_2,2002,ILR,"country, employment, work, discrimination, labor, worker, policy, woman, gender, sector, trade, cent, social, year, law"
Topic_2,2007,Shared,"work, country, economic, system, job, state, development, social, year, health, labor, level, study, program, provide"
Topic_2,2007,COHA,"work, country, state, economic, year, system, school, job, government, health, social, development, public, program, set"
Topic_2,2007,HBR,"work, country, economic, system, year, state, job, development, health, school, social, program, government, study, set"
Topic_2,2007,ILR,"country, work, economic, social, labor, state, health, worker, system, international, job, employment, government, year, union"
Topic_2,2012,Shared,"country, state, work, labor, worker, international, law, social, year, economic, national, government, low, case, industry"
Topic_2,2012,COHA,"state, country, work, year, law, national, government, labor, international, worker, social, economic, public, man, case"
Topic_2,2012,HBR,"country, state, work, year, law, labor, worker, international, social, government, national, economic, low, case, industry"
Topic_2,2012,ILR,"country, state, labor, worker, international, work, social, law, national, economic, government, education, employment, trade, child"
Topic_2,2017,Shared,"work, study, research, year, show, group, market, change, model, system, human, result, economic, industry, country"
Topic_2,2017,COHA,"work, year, study, show, research, group, human, system, change, law, state, market, country, economic, set"
Topic_2,2017,HBR,"work, year, study, research, show, group, market, change, system, model, human, result, industry, economic, country"
Topic_2,2017,ILR,"work, study, labor, worker, country, law, international, year, economic, social, state, system, show, research, trade"
Topic_3,1922,Shared,"world, life, political, party, president, house, state, government, american, national, night, history, public, court, side"
Topic_3,1922,COHA,"world, president, american, party, house, life, government, political, state, national, night, united, war, court, british"
Topic_3,1922,HBR,"world, government, life, state, national, political, public, party, man, year, american, house, place, power, country"
Topic_3,1922,ILR,"world, state, government, life, national, political, public, year, party, country, man, work, place, labor, power"
Topic_3,1927,Shared,"city, president, american, year, house, man, world, bill, today, made, states, money, prohibition, power, people"
Topic_3,1927,COHA,"president, city, made, american, states, house, york, united, bill, years, british, man, world, prohibition, men"
Topic_3,1927,HBR,"year, man, city, world, american, power, house, state, people, money, public, today, president, small, bill"
Topic_3,1927,ILR,"year, man, city, world, state, power, public, american, house, money, people, end, bill, small, foreign"
Topic_3,1932,Shared,"relief, government, nra, man, life, court, state, american, week, administration, world, national, league, vote, years"
Topic_3,1932,COHA,"relief, government, court, american, man, state, week, secretary, administration, made, war, life, years, national, nra"
Topic_3,1932,HBR,"government, man, relief, state, life, national, year, public, court, world, american, administration, week, department, people"
Topic_3,1932,ILR,"government, relief, man, state, life, national, year, court, public, week, world, office, administration, place, american"
Topic_3,1937,Shared,"president, american, defense, government, people, world, today, roosevelt, house, made, state, court, states, night, secretary"
Topic_3,1937,COHA,"president, american, defense, government, roosevelt, made, states, house, secretary, world, court, today, war, state, people"
Topic_3,1937,HBR,"government, people, american, world, year, president, state, defense, today, board, court, small, put, house, man"
Topic_3,1937,ILR,"government, year, people, state, world, american, board, defense, president, court, today, office, national, public, work"
Topic_3,1942,Shared,"army, air, war, british, world, german, navy, president, people, today, american, made, back, oil, bill"
Topic_3,1942,COHA,"army, war, british, air, german, president, made, navy, york, world, american, men, back, bill, today"
Topic_3,1942,HBR,"war, world, people, air, state, man, army, german, british, government, today, life, american, small, oil"
Topic_3,1942,ILR,"war, state, world, people, german, government, man, air, british, army, national, life, public, year, today"
Topic_3,1947,Shared,"war, government, world, state, american, man, year, city, house, party, week, people, president, public, power"
Topic_3,1947,COHA,"war, american, united, president, government, city, world, house, party, state, week, man, soviet, secretary, year"
Topic_3,1947,HBR,"war, year, government, man, state, world, public, people, american, city, power, party, national, week, house"
Topic_3,1947,ILR,"war, year, government, state, man, world, public, week, national, party, people, power, city, american, house"
Topic_3,1952,Shared,"party, man, white, school, world, city, administration, election, state, power, end, commission, chairman, speech, national"
Topic_3,1952,COHA,"party, white, man, world, city, administration, election, school, united, chairman, senator, state, speech, political, commission"
Topic_3,1952,HBR,"man, party, world, school, power, state, year, end, public, national, board, administration, white, place, city"
Topic_3,1952,ILR,"man, party, school, state, world, power, year, national, end, public, board, administration, place, law, union"
Topic_3,1957,Shared,"president, city, american, people, today, air, big, put, world, life, bill, million, man, war, years"
Topic_3,1957,COHA,"president, american, city, years, states, air, governor, war, today, senate, secretary, bill, democratic, people, million"
Topic_3,1957,HBR,"people, president, american, today, city, man, put, world, life, year, state, big, air, government, end"
Topic_3,1957,ILR,"people, president, city, american, man, today, state, year, world, put, life, government, war, end, air"
Topic_3,1962,Shared,"president, american, people, state, man, world, year, city, life, house, federal, public, national, military, soviet"
Topic_3,1962,COHA,"president, american, state, soviet, states, united, city, house, world, people, years, man, military, negro, federal"
Topic_3,1962,HBR,"people, man, state, year, president, world, american, public, life, government, national, city, federal, today, political"
Topic_3,1962,ILR,"state, year, man, people, president, world, public, american, government, national, life, federal, city, party, place"
